<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;2020-11-26;0;252.2000000;252.8800000;247.4400000;250.1000000;79802600
SBER;D;2020-11-27;0;250.3100000;252.2600000;248.0300000;251.5900000;51413850
SBER;D;2020-11-30;0;249.7200000;251.0000000;245.9800000;249.6300000;112040430
SBER;D;2020-12-01;0;250.7100000;260.9900000;249.8000000;260.8100000;132045800
SBER;D;2020-12-02;0;260.0500000;264.9900000;258.8000000;264.0600000;93270290
SBER;D;2020-12-03;0;264.4900000;264.6300000;260.8500000;263.1400000;62219970
SBER;D;2020-12-04;0;264.6500000;270.8400000;264.5000000;270.0000000;94546040
SBER;D;2020-12-07;0;269.2000000;276.1300000;268.1000000;274.3600000;94682100
SBER;D;2020-12-08;0;274.4400000;276.6600000;271.5200000;275.4900000;78823270
SBER;D;2020-12-09;0;276.1900000;279.4200000;275.8700000;276.8900000;73606600
SBER;D;2020-12-10;0;276.7000000;282.2000000;275.2000000;282.2000000;75547130
SBER;D;2020-12-11;0;282.5000000;284.6000000;279.7800000;283.7300000;76031520
SBER;D;2020-12-14;0;285.0200000;287.7400000;277.1000000;279.9500000;90216400
SBER;D;2020-12-15;0;278.5300000;283.7600000;276.0700000;278.7000000;84170420
SBER;D;2020-12-16;0;278.0000000;280.8400000;276.1400000;278.3500000;54712610
SBER;D;2020-12-17;0;279.8400000;285.1600000;276.5400000;278.5000000;92056470
SBER;D;2020-12-18;0;277.4000000;277.4000000;268.5200000;270.1600000;99129600
SBER;D;2020-12-21;0;266.4000000;267.3400000;259.7000000;261.7900000;120329330
SBER;D;2020-12-22;0;259.5500000;267.4200000;257.0500000;262.0400000;105345250
SBER;D;2020-12-23;0;262.2000000;270.2900000;260.2200000;270.1000000;67880370
SBER;D;2020-12-24;0;271.9000000;272.8200000;267.1300000;269.3200000;42447420
SBER;D;2020-12-25;0;269.9300000;271.0000000;268.2800000;270.6400000;11978340
SBER;D;2020-12-28;0;270.8900000;275.1900000;269.7300000;274.7000000;38838530
SBER;D;2020-12-29;0;275.9100000;276.4300000;271.2600000;272.0000000;38984890
SBER;D;2020-12-30;0;272.5000000;274.2400000;270.1200000;271.6500000;31509500
SBER;D;2021-01-04;0;274.6700000;276.6000000;270.6100000;272.0000000;48799460
SBER;D;2021-01-05;0;272.6700000;275.7000000;270.2800000;275.2000000;45554100
SBER;D;2021-01-06;0;275.9000000;275.9200000;271.6200000;272.9300000;40905340
SBER;D;2021-01-08;0;275.1100000;283.9900000;275.1100000;283.6400000;88672940
SBER;D;2021-01-11;0;282.7500000;292.9500000;279.4800000;289.4900000;112210400
SBER;D;2021-01-12;0;290.5000000;296.0700000;286.7000000;289.9900000;78890100
SBER;D;2021-01-13;0;291.0100000;292.4600000;283.1000000;283.7800000;67489780
SBER;D;2021-01-14;0;284.0000000;286.9000000;279.0600000;284.7900000;74616910
SBER;D;2021-01-15;0;282.5500000;286.1600000;276.0000000;276.9000000;73687110
SBER;D;2021-01-18;0;275.7300000;281.3000000;272.9500000;279.7900000;73676310
SBER;D;2021-01-19;0;280.9800000;282.8000000;276.4200000;278.1900000;55682850
SBER;D;2021-01-20;0;278.6300000;282.4900000;276.7700000;279.8000000;47858610
SBER;D;2021-01-21;0;280.7800000;281.5400000;272.8400000;274.4000000;83765230
SBER;D;2021-01-22;0;273.0000000;273.3000000;266.7800000;268.2500000;86899970
SBER;D;2021-01-25;0;270.5400000;273.6300000;261.6500000;265.3000000;114068450
SBER;D;2021-01-26;0;262.9000000;269.5700000;262.6100000;269.3400000;75094890
SBER;D;2021-01-27;0;270.0700000;273.8000000;265.0200000;265.5000000;100046360
SBER;D;2021-01-28;0;263.5000000;267.1700000;261.1700000;265.9600000;81088040
SBER;D;2021-01-29;0;263.9200000;264.7500000;257.3600000;258.1100000;120025230
SBER;D;2021-02-01;0;260.0000000;264.0600000;258.7300000;263.8000000;63050800
SBER;D;2021-02-02;0;265.0000000;268.3900000;263.0500000;263.1500000;79360220
SBER;D;2021-02-03;0;264.2500000;268.1400000;261.0500000;263.5300000;77585700
SBER;D;2021-02-04;0;263.2100000;270.6000000;262.3400000;270.1100000;78873410
SBER;D;2021-02-05;0;271.9900000;272.5700000;268.8700000;271.7000000;71697410
SBER;D;2021-02-08;0;273.0100000;275.5800000;272.3200000;275.2000000;51720410
SBER;D;2021-02-09;0;275.9900000;276.2900000;267.1900000;268.9800000;91773840
SBER;D;2021-02-10;0;269.2800000;270.9900000;265.2000000;265.9000000;63033470
SBER;D;2021-02-11;0;265.4900000;266.9000000;263.7500000;264.7000000;38615960
SBER;D;2021-02-12;0;263.9900000;266.4400000;258.5500000;266.0000000;81585980
SBER;D;2021-02-15;0;268.4900000;271.8700000;267.0700000;271.8100000;56766380
SBER;D;2021-02-16;0;272.3100000;272.8000000;268.2700000;270.9000000;62992920
SBER;D;2021-02-17;0;270.9200000;275.0700000;267.5600000;270.9000000;79087080
SBER;D;2021-02-18;0;270.3500000;272.4600000;266.2100000;266.9900000;58686040
SBER;D;2021-02-19;0;266.1200000;272.8100000;264.1900000;271.3400000;59193580
SBER;D;2021-02-20;0;271.0000000;271.0000000;269.0200000;270.5100000;8738250
SBER;D;2021-02-22;0;270.3700000;274.4600000;268.1200000;273.7100000;48095910
SBER;D;2021-02-24;0;272.1200000;272.7500000;269.4200000;271.9000000;64101830
SBER;D;2021-02-25;0;273.6000000;276.4800000;270.6500000;270.7100000;79566390
SBER;D;2021-02-26;0;268.0000000;272.4900000;266.4300000;270.1700000;74446940
SBER;D;2021-03-01;0;273.0000000;274.7300000;271.1300000;273.5800000;35741070
SBER;D;2021-03-02;0;271.8900000;280.0000000;271.6000000;279.1000000;71481180
SBER;D;2021-03-03;0;281.7000000;283.8300000;277.6300000;278.0100000;64113880
SBER;D;2021-03-04;0;278.5300000;281.9600000;273.6300000;274.7500000;91841080
SBER;D;2021-03-05;0;276.1200000;278.9800000;272.7600000;277.5000000;83301590
SBER;D;2021-03-09;0;278.7100000;286.3800000;277.5600000;285.7900000;72592390
SBER;D;2021-03-10;0;285.2300000;288.0000000;281.0000000;282.2400000;55067560
SBER;D;2021-03-11;0;283.8600000;286.3800000;282.3000000;286.0000000;47203100
SBER;D;2021-03-12;0;286.3000000;287.4900000;282.8200000;284.9300000;51362640
SBER;D;2021-03-15;0;286.0700000;292.9200000;285.2800000;292.7400000;67756210
SBER;D;2021-03-16;0;293.0700000;293.8800000;288.6100000;292.3300000;53891160
SBER;D;2021-03-17;0;292.3800000;293.2500000;279.6000000;283.3500000;110247040
SBER;D;2021-03-18;0;284.0600000;285.7900000;278.2400000;279.2500000;74060790
SBER;D;2021-03-19;0;279.0000000;286.3100000;278.0300000;285.4700000;84214320
SBER;D;2021-03-22;0;285.0000000;291.2000000;283.0800000;288.6500000;62697960
SBER;D;2021-03-23;0;287.6000000;288.3000000;282.1100000;282.6000000;70668340
SBER;D;2021-03-24;0;283.3000000;288.0000000;282.2500000;285.7900000;46388650
SBER;D;2021-03-25;0;286.3300000;287.0300000;283.8500000;286.6600000;35114120
SBER;D;2021-03-26;0;288.6000000;292.7500000;288.3200000;291.2200000;55889260
SBER;D;2021-03-29;0;289.7200000;294.0900000;289.2600000;293.3000000;43631060
SBER;D;2021-03-30;0;294.6000000;295.7200000;291.5000000;293.2500000;38637210
SBER;D;2021-03-31;0;294.0000000;294.4200000;290.2600000;291.0200000;46972400
SBER;D;2021-04-01;0;292.0000000;294.7200000;288.4300000;290.2400000;51532880
SBER;D;2021-04-02;0;290.8100000;292.4000000;289.1400000;291.7000000;19262050
SBER;D;2021-04-05;0;290.8000000;291.4800000;287.0700000;288.7800000;35298970
SBER;D;2021-04-06;0;289.0000000;289.4300000;281.3700000;281.5000000;77497430
SBER;D;2021-04-07;0;281.6600000;284.2900000;278.5400000;283.9800000;74087530
SBER;D;2021-04-08;0;284.6200000;286.2000000;282.1700000;283.8900000;51161440
SBER;D;2021-04-09;0;283.4400000;283.7900000;280.0900000;281.0700000;40018040
SBER;D;2021-04-12;0;278.2100000;285.3500000;278.0000000;281.7500000;57020860
SBER;D;2021-04-13;0;282.9000000;288.2000000;281.1400000;287.9500000;67878750
SBER;D;2021-04-14;0;290.0000000;291.5800000;286.7200000;287.1800000;58993600
SBER;D;2021-04-15;0;281.5000000;285.1900000;280.8700000;283.7200000;87528200
SBER;D;2021-04-16;0;285.7000000;289.3000000;284.0800000;288.5000000;63355410
SBER;D;2021-04-19;0;287.9000000;289.2500000;286.0400000;287.7200000;51231790
SBER;D;2021-04-20;0;288.9000000;290.9200000;286.5900000;287.4200000;63069010
SBER;D;2021-04-21;0;288.0400000;290.2000000;287.0600000;289.2500000;49661560
SBER;D;2021-04-22;0;289.0400000;294.6700000;286.9300000;292.1800000;73621930
SBER;D;2021-04-23;0;293.1600000;294.2000000;290.7800000;293.1900000;42551750
SBER;D;2021-04-26;0;294.3000000;296.4800000;293.1000000;295.2700000;45676020
SBER;D;2021-04-27;0;295.7400000;300.2500000;295.6100000;298.5000000;62822260
SBER;D;2021-04-28;0;298.8400000;299.2600000;295.8900000;298.4900000;40549200
SBER;D;2021-04-29;0;301.0500000;301.8400000;294.7900000;297.1000000;56771630
SBER;D;2021-04-30;0;296.9200000;298.1000000;295.0300000;297.7300000;35662800
SBER;D;2021-05-04;0;298.7000000;304.2300000;298.2000000;303.7000000;60366580
SBER;D;2021-05-05;0;304.0100000;306.0300000;302.7100000;305.9900000;41550150
SBER;D;2021-05-06;0;306.2900000;314.9800000;306.2500000;314.7200000;62553900
SBER;D;2021-05-07;0;316.0100000;319.1600000;315.4800000;317.9400000;56349650
SBER;D;2021-05-10;0;318.2700000;320.1900000;314.3100000;320.1900000;59207110
SBER;D;2021-05-11;0;303.0500000;309.4800000;301.0000000;307.1600000;79006340
SBER;D;2021-05-12;0;307.4000000;309.2400000;302.0000000;302.0200000;56079760
SBER;D;2021-05-13;0;302.1500000;306.8600000;299.3300000;306.7400000;57632810
SBER;D;2021-05-14;0;308.2000000;308.2400000;302.3300000;304.1000000;26784400
SBER;D;2021-05-17;0;303.5000000;305.2400000;301.0100000;303.9400000;28344110
SBER;D;2021-05-18;0;305.0400000;306.6200000;303.3300000;305.7800000;35434660
SBER;D;2021-05-19;0;304.3800000;304.8800000;295.1000000;297.0000000;71633830
SBER;D;2021-05-20;0;297.9400000;298.3700000;293.0000000;296.7200000;58479500
SBER;D;2021-05-21;0;296.8200000;302.9800000;294.9000000;301.2300000;51370530
SBER;D;2021-05-24;0;302.0500000;304.7500000;299.5900000;300.7000000;30764260
SBER;D;2021-05-25;0;301.7800000;307.4000000;301.5700000;306.8000000;37526860
SBER;D;2021-05-26;0;307.8100000;309.5000000;305.3300000;307.0100000;35255410
SBER;D;2021-05-27;0;306.3900000;313.9000000;305.7200000;312.7200000;70727920
SBER;D;2021-05-28;0;313.3000000;314.0000000;309.0600000;309.5600000;35412970
SBER;D;2021-05-31;0;309.3000000;312.6000000;308.8200000;310.7900000;23651780
SBER;D;2021-06-01;0;312.6000000;314.1700000;310.0300000;311.6000000;37510420
SBER;D;2021-06-02;0;311.5900000;314.0000000;310.6100000;313.9800000;26981700
SBER;D;2021-06-03;0;314.8000000;315.7100000;309.8700000;312.4100000;34459100
SBER;D;2021-06-04;0;313.0000000;313.0000000;307.6000000;310.9400000;37077640
SBER;D;2021-06-07;0;310.0300000;316.0000000;308.5700000;315.5300000;40149880
SBER;D;2021-06-08;0;315.2600000;316.1800000;312.5000000;314.8300000;34909350
SBER;D;2021-06-09;0;315.0100000;315.9000000;312.9000000;314.7800000;25115980
SBER;D;2021-06-10;0;314.8000000;316.5800000;313.7600000;314.6200000;29201370
SBER;D;2021-06-11;0;314.8800000;315.0800000;312.5000000;313.0000000;21902100
SBER;D;2021-06-14;0;313.4800000;314.8700000;310.4000000;314.1200000;25494830
SBER;D;2021-06-15;0;314.1300000;315.6000000;312.4000000;312.5100000;29704890
SBER;D;2021-06-16;0;312.5000000;314.5400000;311.0300000;311.6100000;38224960
SBER;D;2021-06-17;0;311.0000000;315.4200000;310.4600000;313.9000000;44164540
SBER;D;2021-06-18;0;313.4400000;313.8200000;308.1300000;309.3000000;62327060
SBER;D;2021-06-21;0;308.4500000;310.4000000;306.5600000;310.4000000;36086020
SBER;D;2021-06-22;0;310.7900000;311.1700000;308.1300000;309.7300000;23511320
SBER;D;2021-06-23;0;310.4000000;312.0000000;308.6900000;309.7900000;24810790
SBER;D;2021-06-24;0;309.8200000;311.2000000;308.8400000;310.0000000;19708450
SBER;D;2021-06-25;0;310.4100000;312.5000000;309.8200000;311.8100000;22588790
SBER;D;2021-06-28;0;311.7600000;312.0600000;309.1300000;309.4800000;19409430
SBER;D;2021-06-29;0;308.7000000;309.2300000;303.6600000;306.1000000;33868700
SBER;D;2021-06-30;0;306.3500000;306.9100000;303.3400000;306.4500000;31492940
SBER;D;2021-07-01;0;306.1900000;307.3500000;305.0000000;305.7800000;19958090
SBER;D;2021-07-02;0;305.5900000;308.3700000;304.7100000;307.3900000;28893920
SBER;D;2021-07-05;0;307.8100000;308.1100000;304.8000000;307.0000000;16481560
SBER;D;2021-07-06;0;307.3200000;307.5900000;302.3700000;303.3400000;32667720
SBER;D;2021-07-07;0;303.5600000;306.2000000;302.8500000;304.0600000;22612920
SBER;D;2021-07-08;0;302.9900000;304.3000000;300.6200000;302.6300000;30696840
SBER;D;2021-07-09;0;302.7100000;304.1000000;301.2200000;303.5600000;20523480
SBER;D;2021-07-12;0;303.5600000;306.2700000;301.5200000;306.2300000;25280830
SBER;D;2021-07-13;0;306.8500000;307.2200000;302.1100000;303.0000000;21233230
SBER;D;2021-07-14;0;302.7000000;303.6900000;300.7400000;301.5000000;23920780
SBER;D;2021-07-15;0;301.1900000;303.5000000;299.7700000;301.7200000;21082200
SBER;D;2021-07-16;0;301.9200000;304.7800000;298.5700000;298.8500000;34532240
SBER;D;2021-07-19;0;298.0000000;298.3600000;290.0300000;291.4600000;41244150
SBER;D;2021-07-20;0;292.3400000;296.8000000;292.3000000;296.1000000;35564960
SBER;D;2021-07-21;0;296.0100000;296.9400000;293.5400000;294.8600000;17526680
SBER;D;2021-07-22;0;295.7700000;298.1700000;294.4300000;297.2700000;20319290
SBER;D;2021-07-23;0;297.5000000;298.6900000;295.0400000;296.3800000;14959920
SBER;D;2021-07-26;0;293.9900000;303.6800000;291.9800000;303.3400000;33887060
SBER;D;2021-07-27;0;302.6600000;304.5900000;299.3800000;299.7100000;38559430
SBER;D;2021-07-28;0;300.4800000;302.9800000;300.0000000;302.9000000;26896580
SBER;D;2021-07-29;0;304.1400000;305.2700000;303.0300000;303.1200000;27950010
SBER;D;2021-07-30;0;302.4200000;306.6700000;301.1200000;305.5900000;49522680
SBER;D;2021-08-02;0;306.3100000;308.6300000;306.0600000;306.5100000;31506510
SBER;D;2021-08-03;0;306.3100000;309.8900000;306.2500000;309.8900000;33788860
SBER;D;2021-08-04;0;310.2600000;312.0000000;309.2500000;311.1000000;30666580
SBER;D;2021-08-05;0;311.0200000;315.9100000;310.8200000;315.8200000;37290300
SBER;D;2021-08-06;0;316.1000000;320.0000000;315.3100000;319.1500000;54096400
SBER;D;2021-08-09;0;318.5600000;328.3000000;317.6200000;326.9100000;71958140
SBER;D;2021-08-10;0;328.0500000;331.2900000;326.9700000;330.1100000;41507840
SBER;D;2021-08-11;0;330.7000000;330.9800000;326.2100000;329.9000000;34418000
SBER;D;2021-08-12;0;330.0000000;330.6400000;327.3000000;328.5700000;20985080
SBER;D;2021-08-13;0;328.6000000;330.2700000;327.3100000;328.6800000;18758270
SBER;D;2021-08-16;0;327.5600000;330.5200000;327.1300000;329.3600000;23916510
SBER;D;2021-08-17;0;329.0000000;335.7000000;328.5500000;334.5000000;42463620
SBER;D;2021-08-18;0;336.0500000;338.9900000;333.2600000;334.9000000;36270350
SBER;D;2021-08-19;0;333.5000000;334.0000000;329.1000000;332.6900000;45936410
SBER;D;2021-08-20;0;332.2000000;333.2700000;325.1700000;325.6700000;36352850
SBER;D;2021-08-23;0;327.8500000;329.8100000;326.5500000;329.2200000;20539290
SBER;D;2021-08-24;0;330.3700000;331.2200000;323.3200000;324.8300000;35650540
SBER;D;2021-08-25;0;324.2900000;325.3200000;321.2600000;324.5700000;28071640
SBER;D;2021-08-26;0;324.0300000;325.5500000;320.5800000;322.5400000;27463480
SBER;D;2021-08-27;0;323.7400000;327.5000000;321.8000000;327.4100000;27792410
SBER;D;2021-08-30;0;328.4200000;329.3800000;326.5100000;328.2800000;20356090
SBER;D;2021-08-31;0;328.5400000;330.4800000;327.3000000;327.9400000;32440160
SBER;D;2021-09-01;0;328.8700000;334.6400000;328.0300000;334.5700000;30671130
SBER;D;2021-09-02;0;334.6700000;334.9100000;328.7700000;329.0000000;31562590
SBER;D;2021-09-03;0;329.4700000;330.5300000;326.6200000;329.7100000;29597400
SBER;D;2021-09-06;0;330.0000000;331.4500000;328.5000000;329.3700000;17467620
SBER;D;2021-09-07;0;329.8200000;330.7300000;324.6400000;325.9600000;24443360
SBER;D;2021-09-08;0;325.9600000;332.7400000;322.8400000;331.7000000;47818530
SBER;D;2021-09-09;0;330.4000000;330.4000000;325.6900000;326.0100000;29884250
SBER;D;2021-09-10;0;328.0100000;328.4300000;325.2100000;326.2500000;17390450
SBER;D;2021-09-13;0;327.0200000;328.1400000;324.0100000;327.4100000;24349520
SBER;D;2021-09-14;0;327.4500000;328.8400000;325.4800000;326.4800000;22491700
SBER;D;2021-09-15;0;326.4600000;334.6000000;326.4600000;333.5100000;43810600
SBER;D;2021-09-16;0;333.0400000;334.5000000;324.9100000;326.9900000;62479270
SBER;D;2021-09-17;0;326.9000000;331.7300000;325.7000000;329.5600000;54120880
SBER;D;2021-09-20;0;327.0100000;328.8500000;325.0000000;326.9200000;31671550
SBER;D;2021-09-21;0;328.4400000;329.4800000;322.3900000;323.2500000;47704160
SBER;D;2021-09-22;0;325.2800000;328.9000000;322.5000000;327.8000000;38085450
SBER;D;2021-09-23;0;328.9400000;329.4000000;325.1300000;327.0200000;27033650
SBER;D;2021-09-24;0;326.0800000;326.2300000;323.6200000;325.4400000;24552590
SBER;D;2021-09-27;0;326.3200000;332.4600000;326.0900000;331.6800000;34346920
SBER;D;2021-09-28;0;332.0600000;334.4800000;328.3200000;329.3000000;52511780
SBER;D;2021-09-29;0;329.0900000;330.4500000;327.1500000;328.4300000;27597990
SBER;D;2021-09-30;0;329.9800000;342.2000000;329.4500000;340.9900000;83549930
SBER;D;2021-10-01;0;339.2100000;339.9400000;336.0800000;338.4800000;37617680
SBER;D;2021-10-04;0;337.8100000;349.3100000;336.2200000;345.8500000;59987320
SBER;D;2021-10-05;0;346.7900000;365.0000000;344.9000000;363.2000000;86810410
SBER;D;2021-10-06;0;366.0000000;375.4800000;359.3500000;364.2800000;95588390
SBER;D;2021-10-07;0;367.6900000;374.0000000;365.8800000;368.9300000;49466740
SBER;D;2021-10-08;0;369.5000000;374.5500000;368.0000000;373.0100000;31010000
SBER;D;2021-10-11;0;375.0500000;388.1100000;375.0000000;387.6000000;66555950
SBER;D;2021-10-12;0;385.9000000;386.8600000;376.7200000;377.7900000;51365340
SBER;D;2021-10-13;0;378.7000000;380.9100000;370.8100000;378.8000000;54668150
SBER;D;2021-10-14;0;382.0200000;383.1300000;374.5700000;376.0900000;36290870
SBER;D;2021-10-15;0;377.5000000;378.4100000;370.4300000;371.8200000;37276570
SBER;D;2021-10-18;0;369.3500000;369.9100000;363.7500000;364.6000000;38112280
SBER;D;2021-10-19;0;365.6800000;373.4000000;361.5000000;373.1800000;40008020
SBER;D;2021-10-20;0;371.8300000;371.9700000;367.1000000;370.1600000;27515020
SBER;D;2021-10-21;0;368.2000000;371.1400000;363.2000000;364.6000000;24461840
SBER;D;2021-10-22;0;364.0600000;370.3900000;362.3700000;364.3700000;26322460
SBER;D;2021-10-25;0;366.1900000;371.7000000;361.6800000;369.9900000;35623260
SBER;D;2021-10-26;0;369.8900000;374.6300000;365.6600000;372.1600000;41746810
SBER;D;2021-10-27;0;371.0000000;374.0000000;366.5100000;371.3600000;36305740
SBER;D;2021-10-28;0;370.5000000;374.9200000;362.3200000;365.3600000;53785930
SBER;D;2021-10-29;0;364.3300000;364.3300000;352.6800000;356.1400000;53476690
SBER;D;2021-11-01;0;356.1400000;371.4700000;356.1400000;370.9600000;55120560
SBER;D;2021-11-02;0;370.9800000;374.0000000;367.2000000;370.7000000;37697650
SBER;D;2021-11-03;0;370.0000000;370.5000000;365.0300000;370.1300000;30833580
SBER;D;2021-11-05;0;366.9800000;367.5600000;358.5000000;360.2100000;39012570
SBER;D;2021-11-08;0;362.5900000;363.9700000;355.6000000;358.3900000;39658600
SBER;D;2021-11-09;0;358.4100000;364.5800000;355.6000000;357.4400000;41687090
SBER;D;2021-11-10;0;356.6800000;358.8000000;348.0000000;348.6500000;46528570
SBER;D;2021-11-11;0;350.1400000;357.8900000;347.2200000;356.2400000;42860130
SBER;D;2021-11-12;0;356.2400000;356.3700000;339.6800000;347.5900000;100664120
SBER;D;2021-11-15;0;348.6700000;352.8000000;342.7600000;344.3900000;59812240
SBER;D;2021-11-16;0;345.9100000;346.4700000;336.0100000;337.9100000;61959550
SBER;D;2021-11-17;0;338.0000000;343.5700000;336.6000000;339.8900000;49464380
SBER;D;2021-11-18;0;338.9000000;343.1200000;333.5000000;336.9300000;47108510
SBER;D;2021-11-19;0;339.3700000;339.9900000;325.7000000;327.5600000;66943180
SBER;D;2021-11-22;0;326.0300000;326.3900000;306.6700000;309.1500000;144324090
SBER;D;2021-11-23;0;306.2800000;327.0100000;300.1000000;326.8400000;144820750
